Rank,Course,Latitude,Longitude,State
1,Cape Wickham,-39.5957455,143.9341137,Tasmania
2,Royal Melbourne (West),-37.9693978,145.0302649,Victoria
3,Kingston Heath,-37.9541441,145.0862321,Victoria
4,Barnbougle (Dunes),-40.9581429,147.4294104,Tasmania
5,Peninsula Kingswood (North),-38.1315109,145.1573708,Victoria
6,New South Wales,-33.9910325,151.2403013,New South Wales
7,Barnbougle (Lost Farm),-40.9581429,147.4294104,Tasmania
8,Royal Melbourne (East),-37.9693978,145.0302649,Victoria
9,Royal Adelaide,-34.8961678,138.5102699,South Australia
10,Victoria,-37.9665348,145.0451461,Victoria
11,Metropolitan,-37.9119326,145.0901767,Victoria
12,The National (Moonah),-38.4600993,144.8818095,Victoria
13,Ocean Dunes,-39.8980041,143.8580107,Tasmania
14,Cathedral,-37.2424495,145.803893,Victoria
15,Peninsula Kingswood (South),-38.1315109,145.1573708,Victoria
16,The National (Gunnamatta),-38.4600993,144.8818095,Victoria
17,Lake Karrinyup,-31.86158,115.784233,Western Australia
18,Kooyonga,-34.9283614,138.5329691,South Australia
19,The National (Old),-38.4600993,144.8818095,Victoria
20,The Australian,-33.9181949,151.2121,New South Wales
21,Joondalup (Quarry/Dune),-31.7500522,115.7498583,Western Australia
22,The Lakes,-33.9335718,151.2122939,New South Wales
23,Barwon Heads,-38.2851028,144.4863722,Victoria
24,Woodlands,-37.9996125,145.0981948,Victoria
25,St Andrews Beach,-38.4197132,144.8514937,Victoria
26,The Dunes,-38.4033845,144.8265708,Victoria
27,Yarra Yarra,-37.9314697,145.0754897,Victoria
28,Royal Queensland,-27.4387658,153.0912593,Queensland
29,Royal Canberra (Westbourne),-35.3042348,149.0898141,ACT
30,Hamilton Island,-20.3566247,148.9337609,Queensland
31,Newcastle,-32.8696888,151.7944471,New South Wales
32,Glenelg,-34.9612565,138.5283498,South Australia
33,13th Beach (Beach),-38.2779045,144.4577459,Victoria
34,Bonville,-30.3629199,153.0398344,New South Wales
35,Magenta Shores,-33.3110773,151.5228404,New South Wales
36,Lonsdale Links,-38.2788337,144.6024063,Victoria
37,The Grand,-28.0161894,153.3067276,Queensland
38,The Cut,-32.6114995,115.6309799,Western Australia
39,Bonnie Doon,-33.9331868,151.2248992,New South Wales
40,Sanctuary Cove (Pines),-27.8640341,153.3624663,Queensland
41,Brookwater,-27.6625679,152.8941607,Queensland
42,Grange (West),-34.875634,138.489556,South Australia
43,Elanora,-33.6985397,151.2735967,New South Wales
44,Terrey Hills,-33.668149,151.1970053,New South Wales
45,Moonah Links (Legends),-38.4054838,144.8526463,Victoria
46,St Michaels,-33.984672,151.246492,New South Wales
47,Concord,-33.8521565,151.099101,New South Wales
48,Moonah Links (Open),-38.4055017,144.8526356,Victoria
49,Portsea,-38.3247516,144.703688,Victoria
50,Port Fairy,-38.3595306,142.2796002,Victoria
51,Links Hope Island,-27.8752043,153.3495604,Queensland
52,Grange (East),-34.875634,138.489556,South Australia
53,The Vintage,-32.73955,151.3246891,New South Wales
54,Spring Valley,-37.9532441,145.128499,Victoria
55,The Western Australian,-31.8959721,115.852163,Western Australia
56,Sorrento,-38.3291826,144.7350723,Victoria
57,Kalgoorlie,-30.7372906,121.4445294,Western Australia
58,Avondale,-33.7497053,151.1304724,New South Wales
59,Sandy Links,-37.966683,145.031612,Victoria
60,Bougle Run,-40.9581429,147.4294104,Tasmania
61,Links Lady Bay,-35.4620242,138.3154144,South Australia
62,Curlewis,-38.1820704,144.5346743,Victoria
63,Cottesloe,-31.9702016,115.7691659,Western Australia
64,13th Beach (Creek),-38.2779045,144.4577459,Victoria
65,Pelican Waters,-26.8369886,153.0904182,Queensland
66,Pacific Dunes,-32.7667536,151.8679827,New South Wales
67,Rosebud (North),-38.378629,144.8990981,Victoria
68,Meadow Springs,-32.4964893,115.7504719,Western Australia
69,Lakelands,-28.040031,153.3818379,Queensland
70,Glades,-28.0766057,153.3679692,Queensland
71,Mount Compass,-35.3574247,138.6084075,South Australia
72,RACV Cape Schanck,-38.4612704,144.8938992,Victoria
73,Killara,-33.7696886,151.1587512,New South Wales
74,Sanctuary Lakes,-37.8959876,144.7626273,Victoria
75,Black Bull,-36.0030927,146.0396893,Victoria
76,Sanctuary Cove (Palms),-27.8582576,153.3638074,Queensland
77,The Heritage (Henley),-37.7189655,145.2986078,Victoria
78,Brisbane,-27.5270925,153.0090115,Queensland
79,Settlers Run,-38.131782,145.2525793,Victoria
80,Palmer Coolum,-26.5527145,153.092121,Queensland
81,Stonecutters Ridge,-33.7225462,150.8646587,New South Wales
82,Mollymook (Hilltop),-35.3402222,150.4744336,New South Wales
83,Pacific Harbour,-27.0318214,153.1486646,Queensland
84,Narooma,-36.2187842,150.138685,New South Wales
85,The Heritage (St John),-37.7189655,145.2986078,Victoria
86,Castle Hill,-33.7252281,150.9631319,New South Wales
87,Twin Waters,-26.6285966,153.0852007,Queensland
88,Cypress Lakes,-32.7845699,151.2898053,New South Wales
89,Federal,-35.33161,149.1105131,ACT
90,Monash,-33.6881425,151.2614617,New South Wales
91,Secret Harbour,-32.4080153,115.7491613,Western Australia
92,Riversdale,-37.8714678,145.1142773,Victoria
