States,TopX,Amount,Shorthand
Victoria,100,36,VIC
Tasmania,100,5,TAS
New South Wales,100,23,NSW
Australian Capital Territory,100,2,ACT
Queensland,100,17,QLD
South Australia,100,7,SA
Western Australia,100,10,WA
Northern Territory,100,0,NT
Victoria,50,22,VIC
Tasmania,50,4,TAS
New South Wales,50,11,NSW
Australian Capital Territory,50,1,ACT
Queensland,50,5,QLD
South Australia,50,4,SA
Western Australia,50,3,WA
Northern Territory,50,0,NT
Victoria,25,14,VIC
Tasmania,25,4,TAS
New South Wales,25,3,NSW
Australian Capital Territory,25,0,ACT
Queensland,25,0,QLD
South Australia,25,2,SA
Western Australia,25,2,WA
Northern Territory,25,0,NT
Victoria,10,5,VIC
Tasmania,10,3,TAS
New South Wales,10,1,NSW
Australian Capital Territory,10,0,ACT
Queensland,10,0,QLD
South Australia,10,1,SA
Western Australia,10,0,WA
Northern Territory,10,0,NT
